# Wavelength(micron) (rp/rs)^2 Error_bars
7.116267294098872931e+00 1.054426994644658624e-02 1.000000000000000082e-05
7.091706456282104831e+00 1.054423884028572733e-02 1.000000000000000082e-05
7.067230386888073035e+00 1.054420341795884314e-02 1.000000000000000082e-05
7.042838793349978310e+00 1.054416293061312751e-02 1.000000000000000082e-05
7.018531384110795024e+00 1.054411463169776381e-02 1.000000000000000082e-05
6.994307868619749513e+00 1.054406044544993308e-02 1.000000000000000082e-05
6.970167957328873065e+00 1.054399952067168640e-02 1.000000000000000082e-05
6.946111361689538910e+00 1.054392925089331357e-02 1.000000000000000082e-05
6.922137794148990331e+00 1.054385531487671973e-02 1.000000000000000082e-05
6.898246968146942493e+00 1.054377298762295551e-02 1.000000000000000082e-05
6.874438598112114107e+00 1.054368228122890168e-02 1.000000000000000082e-05
6.850712399458843471e+00 1.054358440505363467e-02 1.000000000000000082e-05
6.827068088583684080e+00 1.054348980280732546e-02 1.000000000000000082e-05
6.803505382861994022e+00 1.054338992688878124e-02 1.000000000000000082e-05
6.780024000644588433e+00 1.054327516596323226e-02 1.000000000000000082e-05
6.756623661254345770e+00 1.054315442624024872e-02 1.000000000000000082e-05
6.733304084982861148e+00 1.054302054665175008e-02 1.000000000000000082e-05
6.710064993087120122e+00 1.054287557003300707e-02 1.000000000000000082e-05
6.686906107786135145e+00 1.054272323770123233e-02 1.000000000000000082e-05
6.663827152257657538e+00 1.054255671326924555e-02 1.000000000000000082e-05
6.640827850634843266e+00 1.054238352897102562e-02 1.000000000000000082e-05
6.617907928002964013e+00 1.054220039453131023e-02 1.000000000000000082e-05
6.595067110396134247e+00 1.054200893169449441e-02 1.000000000000000082e-05
6.572305124794010744e+00 1.054181228889807323e-02 1.000000000000000082e-05
6.549621699118555185e+00 1.054160397048666334e-02 1.000000000000000082e-05
6.527016562230762986e+00 1.054138881228074490e-02 1.000000000000000082e-05
6.504489443927432113e+00 1.054116910755590469e-02 1.000000000000000082e-05
6.482040074937929219e+00 1.054095011199315986e-02 1.000000000000000082e-05
6.459668186920968225e+00 1.054071423531729307e-02 1.000000000000000082e-05
6.437373512461418201e+00 1.054048024263893116e-02 1.000000000000000082e-05
6.415155785067081062e+00 1.054023800438186505e-02 1.000000000000000082e-05
6.393014739165535865e+00 1.053998461939405912e-02 1.000000000000000082e-05
6.370950110100936925e+00 1.053973465392679491e-02 1.000000000000000082e-05
6.348961634130863452e+00 1.053947395135423903e-02 1.000000000000000082e-05
6.327049048423177169e+00 1.053922107827969142e-02 1.000000000000000082e-05
6.305212091052854184e+00 1.053894065593943656e-02 1.000000000000000082e-05
6.283450500998885246e+00 1.053866775013071605e-02 1.000000000000000082e-05
6.261764018141126265e+00 1.053838867410522052e-02 1.000000000000000082e-05
6.240152383257207447e+00 1.053811843782006923e-02 1.000000000000000082e-05
6.218615338019437111e+00 1.053782955469218831e-02 1.000000000000000082e-05
6.197152624991693060e+00 1.053754421752509801e-02 1.000000000000000082e-05
6.175763987626375240e+00 1.053727057878553301e-02 1.000000000000000082e-05
6.154449170261309554e+00 1.053695919033696866e-02 1.000000000000000082e-05
